|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |bii      |lii      |parallax|
|HR 4804|          |12 39 14.50|-75 22 09.8| 6.49|W       |                                           STAR B8V|-12.51630|302.14300|        |
|HR 4617|          |12 07 49.80|-75 22 00.8| 5.18|        |                                          STAR K2II|-12.73330|300.12400|0.020   |
|HR 7864|Mu 2Oct   |20 41 43.70|-75 21 02.2| 6.55|W       |                                         STAR G5III|-33.04810|318.44400|        |
|HR 8111|          |21 18 16.10|-75 20 48.1| 6.63|        |                                           STAR A1V|-35.15040|317.29300|        |
|HR 4387|          |11 19 36.29|-75 08 33.0| 6.27|        |                                           STAR B9V|-13.33280|297.03200|        |
|HR 4279|          |10 57 15.70|-75 05 58.9| 6.13|        |                                          STAR K1II|-13.86390|295.66100|        |
|HR 872 |Nu  Hyi   |02 50 28.51|-75 04 00.8| 4.75|        |                                         STAR K3III|-39.76780|293.35300|0.011   |
|HR 6829|Phi Oct   |18 23 36.10|-75 02 39.1| 5.47|        |                                           STAR A0V|-24.37510|319.26600|        |
|HR 5555|          |14 59 55.99|-75 01 57.0| 6.20|W       |                                           STAR B9V|-14.23180|311.07700|        |
|HR 8526|          |22 25 51.00|-75 00 56.2| 6.04|W       |                                           STAR G3V|-38.73370|314.27500|        |
|HR 1629|Eta Men   |04 55 11.21|-74 56 12.8| 5.47|        |                                         STAR K4III|-33.55030|287.11500|0.026   |
|HR 236 |Lam Hyi   |00 48 35.40|-74 55 23.9| 5.07|        |                                         STAR K5III|-42.20350|303.18200|0.025   |
|HR 3720|          |09 17 25.39|-74 53 39.8| 5.29|W       |                                           STAR A1V|-17.59470|290.23600|        |
|HR 5042|Iot1Mus   |13 25 07.10|-74 53 16.1| 5.05|        |                                         STAR K0III|-12.16250|305.17000|0.016   |
|HR 5279|          |14 08 27.10|-74 51 01.1| 6.02|        |                                          STAR G2IV|-12.74150|308.00100|0.041   |
|HR 2261|Alp Men   |06 10 14.40|-74 45 11.2| 5.09|        |                                           STAR G6V|-28.80160|285.75800|0.115   |
|HR 3721|          |09 17 27.41|-74 44 04.9| 5.86|        |                                           STAR A0V|-17.48740|290.11200|        |
