|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |
|HR 3554|          |08 55 12.41|-18 14 29.0| 5.75|W       |                                         STAR K2III|
|HR 2443|8Nu 3CMa  |06 37 53.40|-18 14 15.0| 4.43|        |                                          STAR K1II|
|HR 7443|          |19 37 03.31|-18 13 52.0| 5.64|        |                                         STAR K3III|
|HR 7814|10Pi  Cap |20 27 19.20|-18 12 42.1| 5.25|        |                                          STAR B8II|
|HR 5332|          |14 15 24.10|-18 12 02.9| 5.43|        |                                           STAR A1V|
|HR 5701|28    Lib |15 20 53.71|-18 09 31.0| 6.17|        |                                         STAR G8III|
|HR 7900|15Ups Cap |20 40 03.00|-18 08 19.0| 5.10|        |                                         STAR M2III|
|HR 5196|89    Vir |13 49 52.30|-18 08 03.1| 4.97|        |                                         STAR K0III|
|HR 1747|          |05 18 50.40|-18 07 48.0| 5.96|        |                                           STAR G0V|
|HR 2182|          |06 09 20.30|-18 07 34.0| 6.35|W       |                                           STAR B9V|
|HR 3963|          |10 04 02.90|-18 06 06.1| 5.86|        |                                           STAR A0V|
|HR 8869|          |23 19 24.10|-18 04 31.1| 5.93|        |                                               STAR|
|HR 218 |          |00 47 43.30|-18 03 41.0| 5.70|        |                                         STAR K3III|
|HR 7964|          |20 49 20.50|-18 02 08.9| 6.21|W       |                                         STAR K3III|
|HR 8980|103    Aqr|23 41 34.49|-18 01 37.9| 5.34|        |                                         STAR K5III|
|HR 188 |16Bet Cet |00 43 35.40|-17 59 12.1| 2.04|        |                                         STAR G9III|
|HR 8137|30    Cap |21 17 57.29|-17 59 07.1| 5.43|D       |                                         STAR B8III|
|HR 4068|          |10 21 07.80|-17 59 06.0| 6.51|        |                                         STAR F3III|
|HR 2294|2Bet CMa  |06 22 42.00|-17 57 20.9| 1.98|W       |                                          STAR B1II|
|HR 37  |          |00 12 10.01|-17 56 17.9| 5.25|        |                                         STAR K5III|
|HR 8000|19    Cap |20 54 47.90|-17 55 23.2| 5.78|        |                                         STAR K0III|
|HR 8394|          |22 02 11.90|-17 54 13.0| 6.28|        |                                               STAR|
|HR 2853|          |07 27 07.99|-17 51 51.8| 5.63|        |                                            STAR A5|
|HR 5181|87    Vir |13 47 25.39|-17 51 36.0| 5.43|        |                                         STAR M2III|
|HR 1944|          |05 39 16.30|-17 50 57.8| 6.38|        |                                           STAR B7V|
|HR 7340|44Rho1Sgr |19 21 40.39|-17 50 49.9| 3.93|D       |                                          STAR F0IV|
|HR 1865|11Alp Lep |05 32 43.80|-17 49 19.9| 2.58|        |                                           STAR F0I|
|HR 8982|104    Aqr|23 41 45.79|-17 48 59.0| 4.82|W       |                                           STAR G0I|
|HR 7822|11Rho Cap |20 28 51.60|-17 48 49.0| 4.78|        |                                          STAR F2IV|
|HR 6919|          |18 27 56.50|-17 48 00.0| 6.20|        |                                           STAR B8V|
|HR 625 |          |02 08 45.70|-17 46 45.8| 6.10|        |                                         STAR M2III|
|HR 5662|26    Lib |15 14 33.70|-17 46 07.0| 6.17|        |                                         STAR B9III|
|HR 2213|          |06 12 46.30|-17 45 47.2| 6.52|        |                                         STAR B3III|
|HR 6435|          |17 19 53.30|-17 45 23.0| 6.02|        |                                           STAR A2V|
|HR 6196|          |16 41 34.39|-17 44 31.9| 4.96|        |                                          STAR G7II|
|HR 5044|63    Vir |13 23 01.10|-17 44 07.1| 5.37|        |                                         STAR K0III|
|HR 4405|15Gam Crt |11 24 52.90|-17 41 02.0| 4.08|        |                                           STAR A5V|
|HR 693 |          |02 22 04.99|-17 39 43.9| 5.87|        |                                         STAR K0III|
|HR 6365|          |17 08 14.90|-17 36 33.1| 5.99|        |                                         STAR K0III|
|HR 3281|          |08 21 54.60|-17 35 11.0| 5.75|        |                                         STAR K1III|
|HR 18  |          |00 08 33.41|-17 34 39.0| 6.06|        |                                         STAR M0III|
|HR 4662|4Gam Crv  |12 15 48.41|-17 32 30.8| 2.59|        |                                         STAR B8III|
|HR 1965|          |05 42 14.30|-17 31 49.1| 6.15|        |                                            STAR K0|
|HR 1100|20    Eri |03 36 17.40|-17 28 00.8| 5.23|        |                                            STAR B9|
|HR 2359|          |06 28 37.30|-17 27 58.0| 5.77|        |                                            STAR G5|
|HR 8139|31    Cap |21 18 15.70|-17 27 43.9| 7.05|        |                                           STAR F2V|
|HR 8083|          |21 07 44.59|-17 27 19.1| 6.17|        |                                           STAR A0V|
|HR 3317|          |08 25 39.41|-17 26 21.8| 6.44|        |                                            STAR K0|
|HR 10  |          |00 07 18.19|-17 23 11.0| 6.19|        |                                           STAR A6V|
|HR 6838|          |18 17 11.59|-17 22 26.0| 5.75|        |                                          STAR K4II|
|HR 8122|          |21 15 06.60|-17 20 42.0| 6.04|        |                                            STAR G5|
|HR 9098|2    Cet  |00 03 44.40|-17 20 10.0| 4.55|        |                                           STAR B9V|
|HR 4214|          |10 46 52.01|-17 17 48.1| 5.42|        |                                           STAR A3V|
|HR 8075|23The Cap |21 05 56.81|-17 13 58.1| 4.07|        |                                           STAR A1V|
|HR 3044|6    Pup  |07 49 41.21|-17 13 41.9| 5.18|        |                                         STAR K3III|
|HR 6715|6    Sgr  |18 01 23.11|-17 09 24.8| 6.28|        |                                         STAR K3III|
|HR 6769|          |18 07 48.41|-17 09 15.1| 5.52|        |                                         STAR K1III|
|HR 4567|30Eta Crt |11 56 00.91|-17 09 02.9| 5.18|        |                                           STAR A0V|
|HR 1731|          |05 16 48.10|-17 08 30.1| 6.56|        |                                          STAR B3IV|
|HR 3977|          |10 07 09.50|-17 08 30.1| 5.60|        |                                         STAR K7III|
|HR 2535|          |06 50 21.89|-17 05 02.0| 5.79|        |                                            STAR K0|
|HR 8783|          |23 05 12.79|-17 04 45.1| 6.14|W       |                                            STAR K0|
|HR 2596|20Iot CMa |06 56 08.21|-17 03 15.1| 4.37|        |                                          STAR B3II|
|HR 1792|          |05 24 28.39|-16 58 34.0| 5.65|        |                                           STAR A1V|
|HR 8396|29    Aqr |22 02 26.59|-16 57 51.1| 6.37|        |                                           STAR A2V|
|HR 1532|58    Eri |04 47 36.31|-16 56 03.8| 5.51|        |                                           STAR G2V|
|HR 547 |          |01 52 52.10|-16 55 45.1| 5.80|        |                                         STAR F0III|
|HR 4171|Phi3Hya   |10 38 34.99|-16 52 36.1| 4.91|        |                                         STAR G8III|
|HR 2448|          |06 38 35.40|-16 52 25.0| 6.03|        |                                           STAR A1V|
|HR 5764|35Zet4Lib |15 32 55.20|-16 51 10.1| 5.50|        |                                           STAR B2V|
|HR 8340|          |21 50 13.10|-16 50 40.9| 6.38|        |                                            STAR K0|
|HR 4094|42Mu  Hya |10 26 05.40|-16 50 11.0| 3.81|        |                                         STAR K4III|
|HR 8167|32Iot Cap |21 22 14.81|-16 50 03.8| 4.28|        |                                         STAR G7III|
|HR 2260|          |06 17 41.71|-16 48 56.9| 5.14|        |                                         STAR K3III|
|HR 6284|          |16 56 01.80|-16 48 22.0| 6.37|W       |                                          STAR K0IV|
|HR 8545|53    Aqr |22 26 34.39|-16 44 33.0| 6.35|        |                                           STAR G1V|
|HR 8544|53    Aqr |22 26 34.20|-16 44 29.0| 6.57|        |                                           STAR G2V|
|HR 1579|          |04 55 06.79|-16 44 26.2| 5.70|        |                                               STAR|
|HR 5908|46The Lib |15 53 49.51|-16 43 45.8| 4.15|        |                                         STAR G8III|
|HR 1962|          |05 41 41.50|-16 43 32.2| 6.21|        |                                          STAR B3IV|
|HR 5743|32Zet1Lib |15 28 15.41|-16 42 59.0| 5.64|        |                                         STAR K5III|
|HR 2491|9Alp CMa  |06 45 08.90|-16 42 58.0|-1.46|        |                                           STAR A1V|
|HR 3564|          |08 56 34.10|-16 42 33.8| 5.96|        |                                            STAR K0|
|HR 4670|          |12 17 03.29|-16 41 37.0| 6.05|        |                                          STAR A2IV|
|HR 8278|40Gam Cap |21 40 05.50|-16 39 43.9| 3.68|        |                                            STAR F0|
|HR 4742|          |12 27 49.39|-16 37 54.8| 6.35|        |                                         STAR G3III|
|HR 4491|          |11 39 50.40|-16 37 13.1| 6.19|        |                                         STAR M3III|
|HR 2249|          |06 16 07.70|-16 37 04.1| 5.92|        |                                           STAR B2V|
|HR 6147|8Phi Oph  |16 31 08.30|-16 36 46.1| 4.28|        |                                         STAR G8III|
|HR 5750|34Zet3Lib |15 30 40.39|-16 36 33.8| 5.82|        |                                               STAR|
|HR 1263|          |04 04 08.71|-16 35 20.0| 6.39|        |                                            STAR K2|
|HR 3908|          |09 51 59.59|-16 32 04.9| 6.08|        |                                            STAR K0|
|HR 5954|49    Lib |16 00 19.61|-16 31 59.9| 5.47|W       |                                           STAR F8V|
|HR 9101|          |00 04 19.70|-16 31 44.0| 5.78|        |                                         STAR K2III|
|HR 7865|          |20 35 32.21|-16 31 32.9| 6.19|        |                                           STAR A7V|
|HR 172 |          |00 40 28.61|-16 31 00.8| 6.49|W       |                                            STAR G5|
|HR 4757|7Del Crv  |12 29 51.89|-16 30 56.2| 2.95|        |                                           STAR B9V|
|HR 2148|17    Lep |06 04 59.09|-16 29 03.8| 4.93|        |                                            STAR A2|
|HR 206 |          |00 45 41.69|-16 25 27.1| 6.47|        |                                          STAR F1IV|
|HR 1581|          |04 55 18.60|-16 25 04.1| 5.72|        |                                               STAR|
|HR 2788|          |07 19 28.10|-16 23 42.0| 5.70|        |                                           STAR F1V|
|HR 1288|          |04 09 17.81|-16 23 08.9| 5.37|        |                                           STAR B4V|
|HR 7126|          |18 55 31.01|-16 22 36.1| 5.79|        |                                           STAR F4V|
|HR 1604|          |04 59 01.30|-16 22 32.9| 5.66|        |                                           STAR F3V|
|HR 4284|          |10 59 30.91|-16 21 14.0| 5.89|        |                                         STAR M2III|
|HR 4156|Phi2Hya   |10 36 16.70|-16 20 39.8| 6.03|        |                                         STAR M1III|
|HR 5284|          |14 05 13.99|-16 20 08.9| 6.56|        |                                           STAR A4V|
|HR 1538|59    Eri |04 48 32.50|-16 19 45.8| 5.77|        |                                           STAR F6V|
|HR 6428|          |17 18 19.20|-16 18 42.8| 6.43|        |                                         STAR M2III|
|HR 5301|          |14 10 50.50|-16 18 06.8| 4.91|        |                                         STAR M2III|
|HR 7476|54    Sgr |19 40 43.39|-16 17 35.9| 6.20|        |                                         STAR K2III|
|HR 3257|21    Pup |08 17 23.11|-16 17 06.0| 6.16|        |                                           STAR A2V|
|HR 4451|          |11 33 14.59|-16 16 50.2| 6.05|        |                                         STAR F9III|
|HR 8711|77    Aqr |22 54 45.50|-16 16 18.8| 5.56|        |                                         STAR K2III|
|HR 5622|21Nu  Lib |15 06 37.61|-16 15 24.8| 5.20|        |                                         STAR K5III|
|HR 3194|          |08 09 28.51|-16 14 56.0| 5.68|        |                                           STAR B2V|
|HR 2000|          |05 47 07.61|-16 14 16.1| 6.17|        |                                           STAR G2I|
|HR 2699|          |07 09 33.19|-16 14 04.9| 6.03|        |                                          STAR B1II|
|HR 7239|          |19 06 52.30|-16 13 44.0| 6.03|        |                                          STAR B8IV|
|HR 1549|60    Eri |04 50 11.59|-16 13 01.9| 5.03|        |                                         STAR K0III|
|HR 1702|5Mu  Lep  |05 12 55.90|-16 12 20.2| 3.31|        |                                         STAR B9III|
|HR 2825|          |07 24 40.10|-16 12 04.0| 5.33|        |                                          STAR B2IV|
|HR 4981|53    Vir |13 12 03.50|-16 11 55.0| 5.04|W       |                                         STAR F5III|
|HR 4775|8Eta Crv  |12 32 04.20|-16 11 46.0| 4.31|        |                                         STAR F2III|
|HR 4232|Nu  Hya   |10 49 37.49|-16 11 37.0| 3.11|        |                                         STAR K2III|
|HR 5165|83    Vir |13 44 29.81|-16 10 45.1| 5.60|        |                                           STAR G0I|
|HR 3578|          |08 58 43.90|-16 07 58.1| 5.86|        |                                           STAR F6V|
|HR 8322|49Del Cap |21 47 02.40|-16 07 37.9| 2.87|        |                                            STAR A0|
|HR 7905|          |20 40 32.50|-16 07 27.1| 5.80|        |                                               STAR|
|HR 7489|55    Sgr |19 42 31.10|-16 07 26.0| 5.06|W       |                                         STAR F1III|
|HR 5531|9Alp2Lib  |14 50 52.70|-16 02 30.1| 2.75|W       |                                          STAR A3IV|
|HR 8018|          |20 57 40.61|-16 01 54.1| 5.87|        |                                            STAR A2|
|HR 957 |          |03 11 16.80|-16 01 31.1| 6.26|        |                                            STAR K0|
|HR 3027|          |07 47 45.19|-16 00 51.8| 6.43|W       |                                          STAR M2II|
|HR 5530|8Alp1Lib  |14 50 41.21|-15 59 49.9| 5.15|W       |                                          STAR F4IV|
|HR 3026|          |07 47 38.50|-15 59 26.9| 6.34|        |                                           STAR K1I|
|HR 5068|69    Vir |13 27 27.19|-15 58 25.0| 4.76|        |                                         STAR K0III|
|HR 7342|46Ups Sgr |19 21 43.61|-15 57 18.0| 4.61|D       |                                           STAR B2V|
|HR 3441|9    Hya  |08 41 43.30|-15 56 35.9| 4.88|        |                                         STAR G9III|
|HR 509 |52Tau Cet |01 44 04.10|-15 56 15.0| 3.50|W       |                                           STAR G8V|
|HR 4539|          |11 50 19.51|-15 51 50.0| 6.13|        |                                            STAR K0|
|HR 9021|          |23 49 31.61|-15 51 40.0| 6.24|        |                                         STAR K2III|
|HR 9065|1    Cet  |23 58 21.19|-15 50 51.0| 6.26|        |                                          STAR K0II|
|HR 3704|          |09 19 33.19|-15 50 03.8| 5.78|        |                                         STAR K4III|
|HR 6858|          |18 20 08.81|-15 49 54.1| 5.39|        |                                         STAR K4III|
|HR 8709|76Del Aqr |22 54 39.00|-15 49 14.9| 3.27|        |                                           STAR A3V|
|HR 6681|          |17 56 19.01|-15 48 45.0| 5.89|        |                                           STAR A1V|
|HR 4297|          |11 00 57.19|-15 47 34.1| 6.34|        |                                            STAR K0|
|HR 3229|20    Pup |08 13 19.99|-15 47 17.9| 4.99|        |                                          STAR G5II|
|HR 5170|85    Vir |13 45 35.11|-15 46 03.0| 6.19|W       |                                           STAR A2V|
|HR 7819|          |20 28 43.61|-15 44 30.1| 6.41|        |                                         STAR K0III|
|HR 6378|35Eta Oph |17 10 22.70|-15 43 28.9| 2.43|        |                                           STAR A2V|
|HR 451 |49    Cet |01 34 37.80|-15 40 34.0| 5.63|        |                                           STAR A3V|
|HR 5848|44Eta Lib |15 44 04.39|-15 40 22.1| 5.41|        |                                          STAR F0IV|
|HR 6240|          |16 49 27.79|-15 40 03.0| 6.10|        |                                           STAR A5V|
|HR 405 |          |01 24 39.79|-15 39 37.1| 6.14|        |                                            STAR G5|
|HR 7230|          |19 05 41.21|-15 39 37.1| 5.97|W       |                                           STAR B9V|
|HR 2657|23Gam CMa |07 03 45.50|-15 37 59.9| 4.12|        |                                          STAR B8II|
|HR 3714|          |09 20 55.49|-15 37 04.1| 6.33|        |                                               STAR|
|HR 3986|          |10 08 35.50|-15 36 42.1| 6.27|        |                                           STAR A0V|
|HR 7119|          |18 54 43.10|-15 36 11.2| 5.10|        |                                          STAR B5II|
|HR 2758|          |07 16 14.50|-15 35 08.9| 5.46|        |                                           STAR A2V|
|HR 3772|          |09 30 22.61|-15 34 37.9| 5.85|        |                                               STAR|
|HR 6562|          |17 37 36.19|-15 34 16.0| 5.94|        |                                          STAR F0IV|
|HR 5703|29Omi Lib |15 21 01.39|-15 32 53.9| 6.30|W       |                                         STAR F0III|
|HR 7317|          |19 19 00.10|-15 32 11.0| 6.06|W       |                                         STAR K3III|
|HR 7614|61    Sgr |19 57 57.00|-15 29 29.0| 5.02|        |                                          STAR A3IV|
|HR 7496|          |19 43 33.50|-15 28 12.0| 5.49|W       |                                          STAR F5IV|
|HR 33  |6    Cet  |00 11 15.91|-15 28 05.2| 4.89|        |                                           STAR F7V|
|HR 5503|5    Lib  |14 45 57.79|-15 27 34.9| 6.33|        |                                         STAR K1III|
|HR 8987|          |23 42 27.89|-15 26 52.1| 5.28|        |                                         STAR K4III|
|HR 4252|          |10 53 32.90|-15 26 44.2| 6.38|        |                                          STAR K3IV|
|HR 459 |50    Cet |01 35 58.99|-15 24 01.1| 5.42|        |                                         STAR K2III|
|HR 6561|55Xi  Ser |17 37 35.21|-15 23 55.0| 3.54|W       |                                          STAR F0IV|
|HR 5099|75    Vir |13 32 51.70|-15 21 47.2| 5.55|W       |                                         STAR K1III|
|HR 710 |          |02 26 00.31|-15 20 28.0| 5.83|        |                                           STAR A6V|
|HR 4911|          |12 55 53.30|-15 19 36.8| 6.17|        |                                           STAR A0V|
|HR 608 |          |02 02 58.61|-15 18 20.9| 5.86|        |                                          STAR G3IV|
|HR 8992|          |23 43 49.49|-15 17 03.8| 6.36|        |                                         STAR M7III|
|HR 7186|          |19 01 33.50|-15 16 57.0| 6.32|        |                                               STAR|
|HR 2959|          |07 40 23.21|-15 15 49.0| 4.94|        |                                          STAR K3II|
|HR 4218|          |10 47 37.99|-15 15 42.8| 6.67|        |                                         STAR A0III|
|HR 8946|          |23 34 49.39|-15 14 44.9| 5.96|        |                                            STAR K0|
|HR 740 |76Sig Cet |02 32 05.21|-15 14 40.9| 4.75|        |                                          STAR F4IV|
|HR 1120|          |03 40 11.40|-15 13 36.1| 6.33|        |                                            STAR G5|
|HR 8128|29    Cap |21 15 44.90|-15 10 17.0| 5.28|        |                                         STAR M3III|
|HR 2522|          |06 48 57.79|-15 08 40.9| 5.39|        |                                           STAR B6V|
|HR 2303|          |06 23 46.01|-15 04 18.1| 6.24|        |                                            STAR K2|
|HR 7837|          |20 31 04.30|-15 03 23.0| 6.12|W       |                                               STAR|
|HR 7378|          |19 26 11.11|-15 03 11.2| 5.72|        |                                           STAR B8V|
|HR 5847|          |15 43 24.89|-15 02 35.9| 6.31|        |                                          STAR K0IV|
|HR 8890|97    Aqr |23 22 39.19|-15 02 21.1| 5.20|        |                                           STAR A3V|
|HR 3374|          |08 32 33.29|-15 01 45.8| 6.38|W       |                                           STAR F0V|
|HR 2268|          |06 18 48.79|-15 01 28.9| 6.06|        |                                         STAR M0III|
|HR 3675|          |09 15 24.89|-15 01 28.9| 6.35|        |                                           STAR A0V|
|HR 2868|          |07 29 21.89|-14 59 57.1| 6.05|        |                                           STAR F7V|
|HR 150 |          |00 36 03.00|-14 58 25.0| 6.45|        |                                         STAR G9III|
|HR 5277|          |14 04 27.00|-14 58 18.1| 6.28|        |                                         STAR G6III|
|HR 7889|14Tau Cap |20 39 16.39|-14 57 16.9| 5.22|        |                                         STAR B6III|
|HR 2155|18The Lep |06 06 09.29|-14 56 07.1| 4.67|        |                                           STAR A1V|
|HR 3320|          |08 25 55.61|-14 55 46.9| 5.98|        |                                            STAR A5|
|HR 6235|          |16 48 27.00|-14 54 33.8| 6.03|        |                                           STAR A0V|
|HR 6078|          |16 19 00.41|-14 52 21.0| 5.94|        |                                         STAR K4III|
|HR 6302|          |16 58 41.59|-14 52 10.9| 6.59|        |                                          STAR F3IV|
|HR 6959|          |18 32 43.30|-14 51 56.2| 5.50|        |                                           STAR K3I|
|HR 115 |          |00 29 51.89|-14 51 51.1| 6.14|        |                                         STAR F2III|
|HR 6962|          |18 33 39.00|-14 51 13.0| 5.76|        |                                           STAR A2V|
|HR 6061|          |16 15 51.50|-14 50 57.1| 6.09|        |                                           STAR A0V|
|HR 3903|39Ups1Hya |09 51 28.70|-14 50 48.1| 4.12|        |                                         STAR G7III|
|HR 3073|10    Pup |07 52 18.91|-14 50 47.0| 5.69|        |                                           STAR F1I|
|HR 5930|          |15 56 33.41|-14 49 45.1| 6.13|D       |                                         STAR A2III|
|HR 1998|14Zet Lep |05 46 57.29|-14 49 18.8| 3.55|        |                                           STAR A3V|
|HR 1607|          |04 59 36.50|-14 48 20.9| 7.71|        |                                               STAR|
|HR 2498|          |06 45 59.30|-14 47 46.0| 5.32|        |                                           STAR A2V|
|HR 5787|38Gam Lib |15 35 31.61|-14 47 21.8| 3.91|        |                                         STAR G8III|
|HR 7775|          |20 20 46.61|-14 47 06.0| 6.10|        |                                         STAR A0III|
|HR 7776|9Bet Cap  |20 21 00.70|-14 46 53.0| 3.08|W       |                                           STAR F8V|
|HR 4382|12Del Crt |11 19 20.50|-14 46 43.0| 3.56|        |                                         STAR G8III|
|HR 8302|45    Cap |21 44 01.01|-14 44 57.8| 5.99|        |                                           STAR F0V|
|HR 6620|          |17 47 36.79|-14 43 32.9| 5.94|        |                                            STAR B9|
|HR 3010|2    Pup  |07 45 29.09|-14 41 26.9| 6.07|        |                                           STAR A2V|
|HR 3009|2    Pup  |07 45 28.70|-14 41 10.0| 6.89|        |                                           STAR A8V|
|HR 9090|          |00 02 07.30|-14 40 34.0| 7.10|        |                                               STAR|
|HR 6956|          |18 32 20.81|-14 38 39.1| 6.37|S       |                                           STAR A4V|
|HR 1710|          |05 13 59.90|-14 36 24.1| 6.21|        |                                         STAR F2III|
|HR 7571|          |19 53 06.41|-14 36 11.2| 6.48|S       |                                           STAR A0V|
|HR 412 |46    Cet |01 25 37.20|-14 35 56.0| 4.90|        |                                         STAR K2III|
|HR 8567|56    Aqr |22 30 17.40|-14 35 08.9| 6.37|        |                                           STAR B8V|
|HR 2183|          |06 09 34.30|-14 35 03.1| 5.56|        |                                         STAR K2III|
|HR 6404|          |17 15 20.30|-14 35 02.0| 5.99|        |                                         STAR K1III|
|HR 6932|          |18 29 46.80|-14 34 54.1| 5.96|        |                                            STAR B9|
|HR 3687|          |09 17 07.49|-14 34 25.0| 5.84|        |                                               STAR|
|HR 6930|Gam Sct   |18 29 11.90|-14 33 56.9| 4.70|        |                                           STAR A3V|
|HR 7014|          |18 41 42.50|-14 33 51.1| 6.42|        |                                           STAR F2I|
|HR 3015|4    Pup  |07 45 56.90|-14 33 50.0| 5.04|        |                                           STAR F0V|
|HR 7379|          |19 26 24.60|-14 33 04.0| 6.70|        |                                           STAR A1V|
|HR 6140|          |16 29 46.90|-14 33 02.9| 5.68|        |                                         STAR G2III|
|HR 796 |          |02 41 34.01|-14 32 57.8| 5.98|        |                                         STAR F5III|
|HR 8988|105Ome2Aqr|23 42 43.30|-14 32 42.0| 4.49|        |                                           STAR B9V|
|HR 2902|          |07 33 47.90|-14 31 26.0| 4.97|        |                                           STAR M2I|
|HR 8816|          |23 09 49.61|-14 30 38.2| 6.42|        |                                           STAR A0V|
|HR 2136|          |06 02 33.79|-14 29 49.9| 6.20|        |                                            STAR G5|
|HR 2921|          |07 36 03.91|-14 29 34.1| 5.70|        |                                           STAR B2V|
|HR 2021|          |05 49 36.50|-14 29 01.0| 5.49|        |                                               STAR|
|HR 8024|          |20 58 41.90|-14 28 58.1| 6.01|        |                                          STAR F0IV|
|HR 8102|          |21 11 41.30|-14 28 19.9| 6.48|        |                                            STAR F0|
|HR 4490|          |11 39 51.10|-14 28 07.0| 6.21|        |                                           STAR A1V|
|HR 2932|          |07 37 38.90|-14 26 28.0| 6.53|W       |                                         STAR B9III|
|HR 2504|11    CMa |06 46 51.10|-14 25 32.9| 5.29|        |                                         STAR B9III|
|HR 9029|          |23 50 33.31|-14 24 06.8| 5.72|        |                                         STAR K4III|
|HR 8295|44    Cap |21 43 04.39|-14 23 58.9| 5.88|D       |                                          STAR F0IV|
|HR 5927|          |15 56 14.40|-14 23 57.8| 6.37|        |                                           STAR F7V|
|HR 1640|          |05 03 52.01|-14 22 09.8| 6.41|        |                                          STAR B2IV|
|HR 2796|          |07 20 58.20|-14 21 36.0| 5.45|        |                                               STAR|
|HR 1487|          |04 39 19.70|-14 21 33.1| 5.45|        |                                          STAR K1IV|
|HR 2897|          |07 33 22.10|-14 20 17.9| 6.21|        |                                           STAR B1V|
|HR 3849|38Kap Hya |09 40 18.41|-14 19 55.9| 5.06|        |                                           STAR B5V|
|HR 1481|53    Eri |04 38 10.80|-14 18 14.0| 3.87|W       |                                         STAR K2III|
|HR 7454|          |19 37 34.39|-14 18 06.1| 5.47|        |                                           STAR F5V|
|HR 5941|48    Lib |15 58 11.40|-14 16 45.8| 4.88|        |                                         STAR B5III|
|HR 9037|          |23 52 30.00|-14 15 04.0| 5.87|        |                                         STAR K3III|
|HR 1595|          |04 57 44.81|-14 13 53.0| 6.15|        |                                           STAR B1V|
|HR 8968|102Ome1Aqr|23 39 47.11|-14 13 18.1| 5.00|        |                                          STAR F0IV|
|HR 8462|39    Aqr |22 12 25.80|-14 11 38.0| 6.03|        |                                           STAR F2V|
|HR 2085|16Eta Lep |05 56 24.29|-14 10 04.1| 3.71|        |                                         STAR F1III|
|HR 5523|7Mu  Lib  |14 49 19.10|-14 08 56.0| 5.31|        |                                            STAR A1|
|HR 2450|          |06 39 16.70|-14 08 44.9| 4.82|        |                                          STAR K2II|
|HR 5896|          |15 51 38.40|-14 08 01.0| 6.19|        |                                         STAR G8III|
|HR 4289|          |11 00 11.59|-14 04 59.9| 5.88|        |                                         STAR K5III|
|HR 5996|          |16 07 03.41|-14 04 14.9| 6.32|        |                                          STAR G4IV|
|HR 8673|69Tau1Aqr |22 47 42.79|-14 03 23.0| 5.66|        |                                           STAR A0V|
|HR 8283|42    Cap |21 41 32.90|-14 02 51.0| 5.18|        |                                           STAR G1V|
|HR 2593|18Mu  CMa |06 56 06.60|-14 02 37.0| 5.00|        |                                         STAR G5III|
|HR 6989|          |18 38 04.61|-14 00 16.9| 6.47|        |                                          STAR B9IV|
|HR 4190|          |10 42 31.30|-13 58 30.0| 6.24|        |                                            STAR K2|
|HR 6785|          |18 09 43.39|-13 56 03.8| 6.39|        |                                            STAR K0|
|HR 1783|8    Lep  |05 23 30.19|-13 55 37.9| 5.25|        |                                          STAR B2IV|
|HR 3064|9    Pup  |07 51 46.30|-13 53 53.2| 5.17|        |                                           STAR G0V|
|HR 7367|          |19 25 21.60|-13 53 48.8| 5.69|        |                                         STAR K3III|
|HR 8418|33Iot Aqr |22 06 26.21|-13 52 10.9| 4.27|        |                                          STAR B9IV|
|HR 4776|          |12 32 36.00|-13 51 33.1| 5.74|        |                                           STAR F2V|
|HR 811 |89Pi  Cet |02 44 07.39|-13 51 31.0| 4.25|        |                                           STAR B7V|
|HR 3202|18    Pup |08 10 39.79|-13 47 57.1| 5.54|W       |                                           STAR F6V|
|HR 1545|          |04 49 42.19|-13 46 10.9| 6.26|        |                                           STAR F5V|
|HR 4255|          |10 54 17.81|-13 45 29.2| 5.66|        |                                         STAR G4III|
|HR 1769|          |05 21 51.00|-13 45 22.0| 6.56|        |                                           STAR B8V|
|HR 2832|          |07 25 08.30|-13 45 06.8| 5.78|W       |                                           STAR F0V|
|HR 7855|          |20 34 11.69|-13 43 16.0| 6.13|        |                                           STAR F6V|
|HR 2244|          |06 15 44.90|-13 43 05.9| 5.01|        |                                           STAR B9V|
|HR 7532|          |19 48 03.00|-13 42 11.9| 6.11|        |                                            STAR A6|
|HR 1438|          |04 31 25.90|-13 38 42.0| 6.21|        |                                           STAR A3V|
|HR 3959|          |10 03 40.99|-09 34 26.0| 6.12|        |                                            STAR K0|
|HR 7649|63    Sgr |20 01 58.61|-13 38 12.8| 5.71|        |                                           STAR A3V|
|HR 8679|71Tau2Aqr |22 49 35.50|-13 35 33.0| 4.01|W       |                                         STAR M0III|
|HR 1431|          |04 30 09.70|-13 35 31.9| 6.24|        |                                            STAR G5|
|HR 4123|          |10 30 59.81|-13 35 17.9| 5.58|        |                                           STAR B9V|
|HR 4699|          |12 20 55.70|-13 33 56.2| 5.14|W       |                                         STAR K1III|
|HR 227 |          |00 49 25.61|-13 33 41.0| 5.59|        |                                         STAR K5III|
|HR 8351|51Mu  Cap |21 53 17.81|-13 33 06.1| 5.08|        |                                         STAR F1III|
|HR 3484|12    Hya |08 46 22.51|-13 32 52.1| 4.32|W       |                                         STAR G8III|
|HR 8534|50    Aqr |22 24 27.10|-13 31 45.8| 5.76|        |                                         STAR G6III|
|HR 1737|          |05 17 40.20|-13 31 10.9| 5.50|        |                                               STAR|
