ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
6667,NGC 6667,Galaxy,Draco,12.0,2.6,18,30.7,+,67,59,
6674,NGC 6674,Galaxy,Hercules,12.1,4.2,18,38.6,+,25,23,
6681,NGC 6681,Globular Cluster,Sagittarius,8.1,7.8,18,43.2,-,32,18,
6683,NGC 6683,Open Cluster,Scutum,10.0,11.0,18,42.2,-,6,17,
6684,NGC 6684,Galaxy,Pavo,10.5,3.7,18,49.0,-,65,11,
6689,NGC 6689,Galaxy,Draco,12.0,3.9,18,34.9,+,70,32,
6690,NGC 6690,Galaxy,Draco,13.0,3.8,18,34.8,+,70,32,
6691,NGC 6691,Galaxy,Draco,14.0,1.7,18,39.3,+,55,38,
6694,NGC 6694,Open Cluster,Scutum,8.0,15.0,18,45.2,-,9,24,
6699,NGC 6699,Galaxy,Pavo,13.0,1.9,18,52.1,-,57,19,
6701,NGC 6701,Galaxy,Draco,13.0,1.8,18,43.2,+,60,40,
6702,NGC 6702,Galaxy,Lyra,12.2,2.1,18,47.0,+,45,42,
6703,NGC 6703,Galaxy,Lyra,11.4,2.6,18,47.3,+,45,33,
6704,NGC 6704,Open Cluster,Scutum,9.2,6.0,18,50.9,-,5,12,
6705,NGC 6705,Open Cluster,Scutum,5.8,14.0,18,51.1,-,6,16,
6709,NGC 6709,Open Cluster,Aquila,6.7,13.0,18,51.5,+,10,21,
6710,NGC 6710,Galaxy,Lyra,12.8,2.0,18,50.6,+,26,50,
6711,NGC 6711,Galaxy,Draco,14.0,1.3,18,49.0,+,47,39,
6712,NGC 6712,Globular Cluster,Scutum,8.2,7.2,18,53.1,-,8,42,
6715,NGC 6715,Globular Cluster,Sagittarius,7.7,9.1,18,55.1,-,30,29,
6716,NGC 6716,Open Cluster,Sagittarius,6.9,7.0,18,54.6,-,19,53,
6720,NGC 6720,Planetary Nebula,Lyra,9.0,2.5,18,53.6,+,33,2,
6721,NGC 6721,Galaxy,Pavo,12.0,1.9,19,0.8,-,57,47,
6723,NGC 6723,Globular Cluster,Sagittarius,7.3,11.0,18,59.6,-,36,38,
6738,NGC 6738,Open Cluster,Aquila,8.0,15.0,19,1.4,+,11,36,
6741,NGC 6741,Planetary Nebula,Aquila,11.0,0.1,19,2.6,-,0,27,
6742,NGC 6742,Planetary Nebula,Draco,15.0,0.5,18,59.3,+,48,28,
6744,NGC 6744,Galaxy,Pavo,9.0,15.0,19,9.8,-,63,51,
6749,NGC 6749,Globular Cluster,Aquila,11.1,6.3,19,5.1,+,1,47,
6751,NGC 6751,Planetary Nebula,Aquila,13.0,0.3,19,5.9,-,6,0,
6752,NGC 6752,Globular Cluster,Pavo,5.4,20.0,19,10.9,-,59,59,
6753,NGC 6753,Galaxy,Pavo,12.0,2.5,19,11.4,-,57,3,
6754,NGC 6754,Galaxy,Telescopium,13.0,2.2,19,11.4,-,50,39,
6755,NGC 6755,Open Cluster,Aquila,7.5,15.0,19,7.8,+,4,14,
6756,NGC 6756,Open Cluster,Aquila,11.0,4.0,19,8.7,+,4,41,
6758,NGC 6758,Galaxy,Telescopium,13.0,2.1,19,13.9,-,56,19,
6760,NGC 6760,Globular Cluster,Aquila,9.1,6.6,19,11.2,+,1,2,
6764,NGC 6764,Galaxy,Cygnus,13.0,2.5,19,8.3,+,50,56,
6769,NGC 6769,Galaxy,Pavo,11.8,2.5,19,18.4,-,60,31,
6770,NGC 6770,Galaxy,Pavo,12.0,2.5,19,18.7,-,60,31,
6771,NGC 6771,Galaxy,Pavo,12.5,2.6,19,18.7,-,60,33,
6772,NGC 6772,Planetary Nebula,Aquila,14.0,1.0,19,14.6,-,2,42,
6776,NGC 6776,Galaxy,Pavo,12.0,1.9,19,25.4,-,63,52,
6778,NGC 6778,Planetary Nebula,Aquila,13.0,0.3,19,18.4,-,1,36,
6779,NGC 6779,Globular Cluster,Lyra,8.3,7.1,19,16.6,+,30,11,
6780,NGC 6780,Galaxy,Telescopium,13.0,1.9,19,22.9,-,55,47,
6781,NGC 6781,Planetary Nebula,Aquila,12.0,1.8,19,18.4,+,6,33,
6782,NGC 6782,Galaxy,Pavo,13.0,2.7,19,24.0,-,59,55,
6790,NGC 6790,Planetary Nebula,Aquila,10.0,0.1,19,23.2,+,1,31,
6791,NGC 6791,Open Cluster,Lyra,9.5,16.0,19,20.7,+,37,51,
6796,NGC 6796,Galaxy,Draco,14.0,2.1,19,21.5,+,61,9,
6802,NGC 6802,Open Cluster,Vulpecula,8.8,3.0,19,30.6,+,20,16,
6803,NGC 6803,Planetary Nebula,Aquila,11.0,0.1,19,31.3,+,10,3,
6804,NGC 6804,Planetary Nebula,Aquila,12.0,1.1,19,31.6,+,9,13,
6808,NGC 6808,Galaxy,Pavo,13.0,1.7,19,43.9,-,70,39,
6809,NGC 6809,Globular Cluster,Sagittarius,7.0,19.0,19,40.0,-,30,58,
6810,NGC 6810,Galaxy,Pavo,12.0,3.8,19,43.6,-,58,40,
6811,NGC 6811,Open Cluster,Cygnus,6.8,13.0,19,38.2,+,46,34,
6814,NGC 6814,Galaxy,Aquila,11.2,3.2,19,42.7,-,10,19,
6818,NGC 6818,Planetary Nebula,Sagittarius,10.0,0.3,19,44.0,-,14,9,
6819,NGC 6819,Open Cluster,Cygnus,7.3,5.0,19,41.3,+,40,11,
6821,NGC 6821,Galaxy,Aquila,14.0,1.1,19,44.4,-,6,50,
6822,NGC 6822,Galaxy,Sagittarius,9.0,10.0,19,44.9,-,14,48,
6823,NGC 6823,Open Cluster,Vulpecula,7.1,12.0,19,43.1,+,23,18,
6824,NGC 6824,Galaxy,Cygnus,11.9,2.1,19,43.7,+,56,7,
6826,NGC 6826,Planetary Nebula,Cygnus,10.0,2.3,19,44.8,+,50,31,
6830,NGC 6830,Open Cluster,Vulpecula,7.9,12.0,19,51.0,+,23,4,
6833,NGC 6833,Planetary Nebula,Cygnus,14.0,0.1,19,49.7,+,48,58,
6834,NGC 6834,Open Cluster,Cygnus,7.8,5.0,19,52.2,+,29,25,
6835,NGC 6835,Galaxy,Sagittarius,12.5,2.7,19,54.5,-,12,34,
6836,NGC 6836,Galaxy,Sagittarius,13.0,1.2,19,54.7,-,12,41,
6838,NGC 6838,Globular Cluster,Sagitta,8.3,7.2,19,53.8,+,18,47,
6842,NGC 6842,Planetary Nebula,Vulpecula,14.0,0.8,19,55.0,+,29,17,
6851,NGC 6851,Galaxy,Telescopium,13.0,1.8,20,3.6,-,48,17,
6853,NGC 6853,Planetary Nebula,Vulpecula,8.1,15.0,19,59.6,+,22,43,
6854,NGC 6854,Galaxy,Telescopium,13.0,2.3,20,5.7,-,54,23,
6861,NGC 6861,Galaxy,Telescopium,11.1,2.7,20,7.3,-,48,22,
6864,NGC 6864,Globular Cluster,Sagittarius,8.6,6.0,20,6.1,-,21,55,
6866,NGC 6866,Open Cluster,Cygnus,7.6,7.0,20,3.7,+,44,0,
6868,NGC 6868,Galaxy,Telescopium,12.0,2.7,20,9.9,-,48,23,
6869,NGC 6869,Galaxy,Draco,13.0,1.7,20,0.7,+,66,13,
