,name,alt_name,ra,dec,vmag,multiple,class,bii,lii,parallax,distance,absmag
7953,HR 6891,,18 21 32.71,+49 07 18.1,5.05,,STARM2III,24.8679,77.2715,0.0,648.4222220618716,-4.00928945063464
7954,HR 8925,,23 30 07.39,+49 07 59.2,6.17,,STARK3III,-11.6085,109.514,,1009.7720671737505,-3.851116764258764
7955,HR 8026,,20 56 25.90,+49 11 44.9,5.9,,STARG8II,2.4908,88.9313,0.004,997.4201152817167,-4.094390612612846
7956,HR 568 ,3Per,01 58 33.60,+49 12 15.1,5.69,,STARK0IV,-12.2118,134.06,,253.81819276040576,-1.3326137375777103
7957,HR 1056,,03 31 29.40,+49 12 34.9,6.29,,STARA0V,-5.7438,147.903,,440.15705492189124,-1.9280383360176367
7958,HR 2818,21Lyn,07 26 42.79,+49 12 41.0,4.64,,STARA1V,25.7454,168.714,0.012,273.6211222291287,-2.5457480988931893
7959,HR 1011,,03 23 13.20,+49 12 47.9,5.29,,STARB5V,-6.5013,146.778,,622.43583529985,-3.680472940995646
7960,HR 7851,46Ome2Cyg,20 31 18.79,+49 13 13.1,5.44,W,STARM2III,5.7336,86.4133,,461.9778720922399,-2.8831058706552577
7961,HR 799 ,13ThePer,02 44 12.00,+49 13 41.9,4.12,,STARF8V,-9.6097,141.166,0.077,36.29201932759779,1.320944332538926
7962,HR 7442,,19 33 41.59,+49 15 45.0,5.96,,STARM4III,13.829,81.5798,,1169.0192749000767,-4.37910835954629
7963,HR 7477,,19 37 56.69,+49 17 03.8,6.47,W,STARG6V,13.2157,81.9135,0.006,477.53496002506796,-1.9250258575066157
7964,HR 2289,46Psi1Aur,06 24 53.90,+49 17 17.2,4.91,,STARK5I,16.1745,165.354,0.007,5528.074198256294,-8.802869317703557
7965,HR 8805,5And,23 07 45.41,+49 17 44.9,5.7,,STARF5V,-10.1569,106.097,0.021,112.62305859707229,0.4418634117112683
7966,HR 8335,81Pi2Cyg,21 46 47.59,+49 18 33.8,4.23,,STARB3III,-3.2189,94.8323,-0.001,1156.5828996351822,-6.085883834317471
7967,HR 5191,85EtaUMa,13 47 32.40,+49 18 47.9,1.86,,STARB3V,65.3225,100.696,0.035,103.93766019666074,-3.2238646796596893
7968,HR 8206,,21 24 55.51,+49 19 23.9,6.58,,STARB9,-0.8179,92.1978,,584.5096374500383,-2.253958381226383
7969,HR 164 ,,00 39 09.91,+49 21 15.8,5.43,,STARK7III,-13.4683,120.877,,1358.9849070713392,-5.236073167356247
7970,HR 8575,,22 30 06.50,+49 21 22.0,6.4,W,STARK2III,-7.2925,100.613,,387.81971188718353,-1.543149396924715
7971,HR 5452,,14 34 39.60,+49 22 05.9,5.74,,STARM1III,60.2053,88.147,,716.8272037299371,-3.5370723926287155
7972,HR 7828,43Cyg,20 27 02.30,+49 22 59.9,5.69,,STAR,6.396,86.1406,0.012,127.55431274818982,0.16152426421740085
7973,HR 8185,,21 22 00.41,+49 23 20.0,5.69,,STARK0III,-0.4379,91.905,0.011,310.921237080192,-1.7732519349464875
