ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
NGC 7673,NGC 7673,Galaxy,Pegasus,12.7,1.7,23,27.7,+,23,35,
NGC 7674,NGC 7674,Galaxy,Pegasus,14.0,1.2,23,27.9,+,8,47,
NGC 7675,NGC 7675,Galaxy,Pegasus,15.0,0.7,23,28.0,+,8,46,
NGC 7677,NGC 7677,Galaxy,Pegasus,14.0,1.9,23,28.1,+,23,32,
NGC 7678,NGC 7678,Galaxy,Pegasus,12.2,2.3,23,28.5,+,22,25,
NGC 7679,NGC 7679,Galaxy,Pisces,12.7,1.9,23,28.8,+,3,31,
NGC 7682,NGC 7682,Galaxy,Pisces,13.4,1.2,23,29.1,+,3,32,
NGC 7685,NGC 7685,Galaxy,Pisces,15.0,2.1,23,30.6,+,3,54,
NGC 7686,NGC 7686,Open Cluster,Andromeda,5.6,15.0,23,30.2,+,49,8,
NGC 7689,NGC 7689,Galaxy,Phoenix,12.0,2.8,23,32.7,-,54,5,
NGC 7690,NGC 7690,Galaxy,Phoenix,13.0,2.8,23,32.9,-,51,41,
NGC 7702,NGC 7702,Galaxy,Phoenix,12.2,1.9,23,35.4,-,56,0,
NGC 7713,NGC 7713,Galaxy,Sculptor,12.0,4.3,23,36.5,-,37,56,
NGC 7714,NGC 7714,Galaxy,Pisces,13.0,2.1,23,36.2,+,2,9,
NGC 7715,NGC 7715,Galaxy,Pisces,15.0,2.6,23,36.4,+,2,9,
NGC 7716,NGC 7716,Galaxy,Pisces,12.2,2.3,23,36.5,+,0,18,
NGC 7720,NGC 7720,Galaxy,Pegasus,12.6,1.9,23,38.5,+,27,2,
NGC 7721,NGC 7721,Galaxy,Aquarius,11.8,3.4,23,38.8,-,6,31,
NGC 7723,NGC 7723,Galaxy,Aquarius,11.1,3.6,23,38.9,-,12,58,
NGC 7727,NGC 7727,Galaxy,Aquarius,10.7,4.2,23,39.9,-,12,18,
NGC 7731,NGC 7731,Galaxy,Pisces,14.0,1.7,23,41.6,+,3,45,
NGC 7732,NGC 7732,Galaxy,Pisces,15.0,2.0,23,41.7,+,3,44,
NGC 7738,NGC 7738,Galaxy,Pisces,14.0,2.2,23,44.1,+,0,31,
NGC 7741,NGC 7741,Galaxy,Pegasus,11.4,4.0,23,43.9,+,26,5,
NGC 7742,NGC 7742,Galaxy,Pegasus,11.5,2.0,23,44.3,+,10,46,
NGC 7743,NGC 7743,Galaxy,Pegasus,11.2,3.1,23,44.4,+,9,56,
NGC 7744,NGC 7744,Galaxy,Phoenix,13.0,2.3,23,45.0,-,42,55,
NGC 7750,NGC 7750,Galaxy,Pisces,14.0,1.8,23,46.7,+,3,47,
NGC 7752,NGC 7752,Galaxy,Pegasus,14.0,0.7,23,47.0,+,29,27,
NGC 7753,NGC 7753,Galaxy,Pegasus,13.0,3.4,23,47.1,+,29,29,
NGC 7755,NGC 7755,Galaxy,Sculptor,12.0,3.7,23,47.9,-,30,31,
NGC 7762,NGC 7762,Open Cluster,Cepheus,10.0,11.0,23,49.8,+,68,2,
NGC 7764,NGC 7764,Galaxy,Phoenix,12.3,1.5,23,50.9,-,40,44,
NGC 7768,NGC 7768,Galaxy,Pegasus,14.0,1.7,23,50.9,+,27,10,
NGC 7769,NGC 7769,Galaxy,Pegasus,12.1,1.8,23,51.1,+,20,9,
NGC 7770,NGC 7770,Galaxy,Pegasus,15.0,1.0,23,51.4,+,20,6,
NGC 7771,NGC 7771,Galaxy,Pegasus,12.3,2.7,23,51.4,+,20,7,
NGC 7779,NGC 7779,Galaxy,Pisces,14.0,1.6,23,53.4,+,7,52,
NGC 7780,NGC 7780,Galaxy,Pisces,15.0,1.2,23,53.6,+,8,7,
NGC 7782,NGC 7782,Galaxy,Pisces,13.0,2.4,23,53.9,+,7,58,
NGC 7783,NGC 7783,Galaxy,Pisces,14.0,1.9,23,54.2,+,0,23,
NGC 7785,NGC 7785,Galaxy,Pisces,11.6,2.3,23,55.3,+,5,55,
NGC 7788,NGC 7788,Open Cluster,Cassiopeia,9.0,9.0,23,56.7,+,61,24,
NGC 7789,NGC 7789,Open Cluster,Cassiopeia,6.7,16.0,23,57.0,+,56,44,
NGC 7790,NGC 7790,Open Cluster,Cassiopeia,8.5,17.0,23,58.4,+,61,13,
NGC 7793,NGC 7793,Galaxy,Sculptor,9.1,9.1,23,57.8,-,32,35,
NGC 7796,NGC 7796,Galaxy,Phoenix,12.0,2.3,23,59.0,-,55,27,
NGC 7798,NGC 7798,Galaxy,Pegasus,13.0,1.5,23,59.4,+,20,45,
NGC 7800,NGC 7800,Galaxy,Pegasus,13.0,2.6,23,59.6,+,14,49,
NGC 7805,NGC 7805,Galaxy,Pegasus,14.0,1.4,0,1.4,+,31,26,
NGC 7806,NGC 7806,Galaxy,Pegasus,14.0,1.3,0,1.5,+,31,27,
NGC 7814,NGC 7814,Galaxy,Pegasus,10.5,6.3,0,3.3,+,16,9,
NGC 7816,NGC 7816,Galaxy,Pisces,14.0,1.9,0,3.8,+,7,28,
NGC 7817,NGC 7817,Galaxy,Pegasus,12.0,3.7,0,4.0,+,20,45,
NGC 7819,NGC 7819,Galaxy,Pegasus,14.0,2.0,0,4.4,+,31,29,
M1,NGC 1952 Crab Nebula,Supernova Remnant,Taurus,8.4,6.0,5,34.5,+,22,1.0,"6,300"
M2,NGC 7089,Globular Cluster,Aquarius,6.5,12.9,21,33.5,-,0,49.0,"37,500"
M3,NGC 5272,Globular Cluster,Canes Venatici,6.2,16.2,13,42.2,+,28,23.0,"33,900"
M4,NGC 6121,Globular Cluster,Scorpius,5.6,26.3,16,23.6,-,26,32.0,"7,200"
M5,NGC 5904,Globular Cluster,Serpens Caput,5.6,17.4,15,18.6,+,2,5.0,"24,500"
M6,NGC 6405 Butterfly Cluster,Open Cluster,Scorpius,5.3,25.0,17,40.1,-,32,13.0,"2,000"
M7,NGC 6475 Ptolemy¹s Cluster,Open Cluster,Scorpius,4.1,80.0,17,53.9,-,34,49.0,800
M8,NGC 6523 Lagoon Nebula,Diffuse Nebula,Sagittarius,6.0,90.0,18,3.8,-,24,23.0,"5,200"
M9,NGC 6333,Globular Cluster,Ophiucus,7.7,9.3,17,19.2,-,18,31.0,"26,700"
M10,NGC 6254,Globular Cluster,Ophiucus,6.6,15.1,16,57.1,-,4,6.0,"14,400"
M11,NGC 6705 Wild Duck Cluster,Open Cluster,Scutum,6.3,14.0,18,51.1,-,6,16.0,"6,000"
M12,NGC 6218,Globular Cluster,Ophiucus,6.7,14.5,16,47.2,-,1,57.0,"16,000"
M13,NGC 6205 Hercules Globular Cluster,Globular Cluster,Hercules,5.8,16.6,16,41.7,+,36,28.0,"22,800"
M14,NGC 6402,Globular Cluster,Ophiucus,7.6,11.7,17,37.6,-,3,15.0,"27,400"
M15,NGC 7078,Globular Cluster,Pegasus,6.2,12.3,21,30.0,+,12,10.0,"33,600"
M16,NGC 6611 Eagle Nebula Cluster,Diffuse Nebula,Serpens Claudia,6.4,7.0,18,18.8,-,13,47.0,"7,000"
M17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,7.0,11.0,18,20.8,-,16,11.0,"5,000"
M18,NGC 6613,Open Cluster,Sagittarius,7.5,9.0,18,19.9,-,17,8.0,"4,900"
M19,NGC 6273,Globular Cluster,Ophiucus,6.8,13.5,17,2.6,-,26,16.0,"27,100"
M20,NGC 6514 Trifid Nebula,Diffuse Nebula,Sagittarius,9.0,28.0,18,2.3,-,23,2.0,"5,200"
M21,NGC 6531,Open Cluster,Sagittarius,6.5,13.0,18,4.6,-,22,30.0,"4,250"
M22,NGC 6656,Globular Cluster,Sagittarius,5.1,24.0,18,36.4,-,23,54.0,"10,100"
